fdcId,foodDescription,inputFoodIndex,inputFood.id,inputFood.foodDescription,inputFood.inputFood.foodClass,inputFood.inputFood.description,inputFood.inputFood.dataType,inputFood.inputFood.foodCategory.id,inputFood.inputFood.foodCategory.code,inputFood.inputFood.foodCategory.description,inputFood.inputFood.fdcId,inputFood.inputFood.publicationDate
321358,"Hummus, commercial",0,10428,"HUMMUS, SABRA CLASSIC",Composite,"HUMMUS, SABRA CLASSIC",Sample,16,1600,Legumes and Legume Products,319874,4/1/2019
321358,"Hummus, commercial",1,10433,"HUMMUS, SABRA CLASSIC",Composite,"HUMMUS, SABRA CLASSIC",Sample,16,1600,Legumes and Legume Products,319921,4/1/2019
321358,"Hummus, commercial",2,10432,"HUMMUS, SABRA CLASSIC",Composite,"HUMMUS, SABRA CLASSIC",Sample,16,1600,Legumes and Legume Products,319901,4/1/2019
321358,"Hummus, commercial",3,10435,"HUMMUS, TRIBE CLASSIC",Composite,"HUMMUS, TRIBE CLASSIC",Sample,16,1600,Legumes and Legume Products,319958,4/1/2019
321358,"Hummus, commercial",4,10429,"HUMMUS, SABRA CLASSIC",Composite,"HUMMUS, SABRA CLASSIC",Sample,16,1600,Legumes and Legume Products,319879,4/1/2019
321358,"Hummus, commercial",5,10436,"HUMMUS, OTHER",Composite,"HUMMUS, OTHER",Sample,16,1600,Legumes and Legume Products,319978,4/1/2019
321358,"Hummus, commercial",6,10431,"HUMMUS, OTHER",Composite,"HUMMUS, OTHER",Sample,16,1600,Legumes and Legume Products,319894,4/1/2019
321358,"Hummus, commercial",7,10430,"HUMMUS, SABRA CLASSIC",Composite,"HUMMUS, SABRA CLASSIC",Sample,16,1600,Legumes and Legume Products,319885,4/1/2019
321358,"Hummus, commercial",8,10434,"HUMMUS, SABRA CLASSIC",Composite,"HUMMUS, SABRA CLASSIC",Sample,16,1600,Legumes and Legume Products,319939,4/1/2019
321358,"Hummus, commercial",9,10438,"HUMMUS, OTHER",Composite,"HUMMUS, OTHER",Sample,16,1600,Legumes and Legume Products,320005,4/1/2019
321358,"Hummus, commercial",10,10437,"HUMMUS, TRIBE CLASSIC",Composite,"HUMMUS, TRIBE CLASSIC",Sample,16,1600,Legumes and Legume Products,319984,4/1/2019
321360,"Tomatoes, grape, raw",0,10480,"TOMATOES, GRAPE",Composite,"TOMATOES, GRAPE",Sample,11,1100,Vegetables and Vegetable Products,320512,4/1/2019
321360,"Tomatoes, grape, raw",1,10472,"TOMATOES, GRAPE",Composite,"TOMATOES, GRAPE",Sample,11,1100,Vegetables and Vegetable Products,320476,4/1/2019
321360,"Tomatoes, grape, raw",2,10473,"TOMATOES, GRAPE",Composite,"TOMATOES, GRAPE",Sample,11,1100,Vegetables and Vegetable Products,320480,4/1/2019
321360,"Tomatoes, grape, raw",3,10477,"TOMATOES, GRAPE",Composite,"TOMATOES, GRAPE",Sample,11,1100,Vegetables and Vegetable Products,320504,4/1/2019
321360,"Tomatoes, grape, raw",4,10468,"TOMATOES, GRAPE",Composite,"TOMATOES, GRAPE",Sample,11,1100,Vegetables and Vegetable Products,320438,4/1/2019
321360,"Tomatoes, grape, raw",5,10475,"TOMATOES, GRAPE",Composite,"TOMATOES, GRAPE",Sample,11,1100,Vegetables and Vegetable Products,320489,4/1/2019
