fdcId,foodDescription,factorIndex,nutrientConversionFactor.type,nutrientConversionFactor.proteinValue,nutrientConversionFactor.fatValue,nutrientConversionFactor.carbohydrateValue,nutrientConversionFactor.value,nutrientConversionFactor.nitrogenValue
321358,"Hummus, commercial",0,.CalorieConversionFactor,3.47,8.37,4.07,,
321358,"Hummus, commercial",1,.ProteinConversionFactor,,,,6.25,
321360,"Tomatoes, grape, raw",0,.ProteinConversionFactor,,,,6.25,
321360,"Tomatoes, grape, raw",1,.CalorieConversionFactor,2.44,8.37,3.57,,
321611,"Beans, snap, green, canned, regular pack, drained solids",0,.CalorieConversionFactor,2.44,8.37,3.57,,
321611,"Beans, snap, green, canned, regular pack, drained solids",1,.ProteinConversionFactor,,,,6.25,
323121,"Frankfurter, beef, unheated",0,.CalorieConversionFactor,4.27,9.02,3.87,,
323121,"Frankfurter, beef, unheated",1,.ProteinConversionFactor,,,,6.25,
323294,"Nuts, almonds, dry roasted, with salt added",0,.ProteinConversionFactor,,,,5.18,
323294,"Nuts, almonds, dry roasted, with salt added",1,.CalorieConversionFactor,3.47,8.37,4.07,,
323505,"Kale, raw",0,.CalorieConversionFactor,2.44,8.37,3.57,,
323505,"Kale, raw",1,.ProteinConversionFactor,,,,6.25,
323604,"Egg, whole, raw, frozen, pasteurized",0,.ProteinConversionFactor,,,,6.25,
323604,"Egg, whole, raw, frozen, pasteurized",1,.CalorieConversionFactor,4.36,9.02,3.68,,
323697,"Egg, white, raw, frozen, pasteurized",0,.ProteinConversionFactor,,,,6.25,
323697,"Egg, white, raw, frozen, pasteurized",1,.CalorieConversionFactor,4.36,9.02,3.68,,
323793,"Egg, white, dried",0,.ProteinConversionFactor,,,,6.25,
323793,"Egg, white, dried",1,.CalorieConversionFactor,4.36,9.02,3.68,,
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",0,.CalorieConversionFactor,3.7,8.8,4.0,,
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",1,.ProteinConversionFactor,,,,6.07,
324653,"Pickles, cucumber, dill or kosher dill",0,.CalorieConversionFactor,2.44,8.37,3.57,,
324653,"Pickles, cucumber, dill or kosher dill",1,.ProteinConversionFactor,,,,6.25,
325036,"Cheese, parmesan, grated",0,.CalorieConversionFactor,4.27,8.79,3.87,,
325036,"Cheese, parmesan, grated",1,.ProteinConversionFactor,,,,6.38,
325198,"Cheese, pasteurized process, American, vitamin D fortified",0,.ProteinConversionFactor,,,,6.38,
325198,"Cheese, pasteurized process, American, vitamin D fortified",1,.CalorieConversionFactor,4.27,8.79,3.87,,
325287,"Grapefruit juice, white, canned or bottled, unsweetened",0,.ProteinConversionFactor,,,,6.25,
325287,"Grapefruit juice, white, canned or bottled, unsweetened",1,.CalorieConversionFactor,3.36,8.37,3.92,,
325430,"Peaches, yellow, raw",0,.CalorieConversionFactor,3.36,8.37,3.6,,
325430,"Peaches, yellow, raw",1,.ProteinConversionFactor,,,,6.25,
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",0,.CalorieConversionFactor,3.47,8.37,4.07,,
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",1,.ProteinConversionFactor,,,,5.3,
325871,"Bread, white, commercially prepared",0,.ProteinConversionFactor,,,,6.25,
325871,"Bread, white, commercially prepared",1,.CalorieConversionFactor,3.9,8.7,4.1,,
326196,"Kale, frozen, cooked, boiled, drained, without salt",0,.CalorieConversionFactor,2.44,8.37,3.57,,
326196,"Kale, frozen, cooked, boiled, drained, without salt",1,.ProteinConversionFactor,,,,6.25,
326698,"Mustard, prepared, yellow",0,.CalorieConversionFactor,3.47,8.37,3.34,,
326698,"Mustard, prepared, yellow",1,.ProteinConversionFactor,,,,6.25,
327046,"Kiwifruit, green, raw",0,.ProteinConversionFactor,,,,6.25,
327046,"Kiwifruit, green, raw",1,.CalorieConversionFactor,3.36,8.37,3.6,,
327357,"Nectarines, raw",0,.ProteinConversionFactor,,,,6.25,
327357,"Nectarines, raw",1,.CalorieConversionFactor,3.36,8.37,3.6,,
328841,"Cheese, cottage, lowfat, 2% milkfat",0,.CalorieConversionFactor,4.27,8.79,3.87,,
328841,"Cheese, cottage, lowfat, 2% milkfat",1,.ProteinConversionFactor,,,,6.38,
329370,"Cheese, mozzarella, low moisture, part-skim",0,.CalorieConversionFactor,4.27,8.79,3.87,,
329370,"Cheese, mozzarella, low moisture, part-skim",1,.ProteinConversionFactor,,,,6.38,
329490,"Egg, whole, dried",0,.ProteinConversionFactor,,,,6.25,
329490,"Egg, whole, dried",1,.CalorieConversionFactor,4.36,9.02,3.68,,
329596,"Egg, yolk, raw, frozen, pasteurized",0,.CalorieConversionFactor,4.36,9.02,3.68,,
329596,"Egg, yolk, raw, frozen, pasteurized",1,.ProteinConversionFactor,,,,6.25,
329716,"Egg, yolk, dried",0,.ProteinConversionFactor,,,,6.25,
329716,"Egg, yolk, dried",1,.CalorieConversionFactor,4.36,9.02,3.68,,
330137,"Yogurt, Greek, plain, nonfat",0,.ProteinConversionFactor,,,,6.38,
330137,"Yogurt, Greek, plain, nonfat",1,.CalorieConversionFactor,4.27,8.79,3.87,,
330415,"Yogurt, Greek, strawberry, nonfat",0,.ProteinConversionFactor,,,,6.38,
330415,"Yogurt, Greek, strawberry, nonfat",1,.CalorieConversionFactor,4.27,8.79,3.87,,
330458,"Oil, coconut",0,.ProteinConversionFactor,,,,6.25,
330458,"Oil, coconut",1,.CalorieConversionFactor,3.47,8.37,4.07,,
